"Seq","Source","BreakSet","DatasetNo","SetNo","SetNoInData","Type","Model","Treat","%BreakSet","Year","Predecessor","Successor","%SegmentFound","Ti","Shift","%YearOverall","Modal Year","ModalValue","SecondModalYear","SecondModalValue","SegmentTrend","PreTrend",PostTrend","ShiftFromTrends","30YearTrend","15YrTi","15YearShift","30Yr Mode","30YrModePct","30YrMode2","30YrMode2%","Stability",":","ModelGroup","GroupCode","GroupNum","Model","GroupModNum","ModelNum","EnsembleCode","EnsembleNum","Scenario",":","Byear","slope1","Pr(slope1)","Sig(slope1)","Rsq(slope1)","slope2","Pr(slope2)","Sig(slope2)","Rsq(slope2)","non-trend-shift","Pr(non-trend-shift)","Sig(non-trend-shift)",":","PrTrends","sig(Trends)","Pr(shifts)","sig(shifts)",Pr(Regime)","sig(Regime)","Modal"
1,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2022, 2043, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,98,1900,1861.0,1921,100,19.8019489537,0.155298546348,100,1900,0.98,1897,0.02,0.00261321126179,-0.00215571216526,-0.00551179654818,0.257784849611,0.0229254534194,8.74341586599,0.230419594087,1900,0.83,1895,0.08,0.85 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 1900.0 , -0.002156 , 0.179000,N/S  , 0.04696 , -0.005512 , 0.072200,*    , 0.1602 , 0.257785 , 0.000036,**** , : , 0.409000,N/S , 0.000036,**** , 0.000068,****,"Y"
2,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2022, 2043, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,98,1921,1900,2001,100,36.9214436123,0.225093670246,100,1921,0.7,1927,0.28,0.00264619646838,-0.00551179654818,0.00100449445378,0.238922031433,0.0192262132378,9.01117196659,0.179558473706,1921,0.87,1920,0.12,0.92 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 1921.0 , -0.005512 , 0.072200,*    , 0.1602 , 0.001004 , 0.105000,N/S  , 0.03326 , 0.2389 , 0.000059,**** , : , 0.135400,N/S , 0.000059,**** , 0.000062,****,"Y"
3,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2022, 2043, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,98,2001,1921,2022,98,77.0922062111,0.600601283936,100,2001,1.0,0,0,0.00653772160858,0.00100449445378,0.0178341774935,0.364955266652,0.0341229411828,11.8596402152,0.314316749078,2001,0.99,2002,0.01,0.94 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2001.0 , 0.001004 , 0.105000,N/S  , 0.03326 , 0.01783 , 0.000348,**** , 0.4985 , 0.364955 , 0.000000,**** , : , 0.000328,****, 0.000000,**** , 0.000000,****,"Y"
4,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2022, 2043, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,98,2022,2001,2043,98,32.0302577464,0.52032361028,98,2022,0.98,2021,0.01,0.0225647354333,0.0178341774935,0.0140341341901,0.187451002879,0.0261308333234,9.25483775509,0.278583978359,2022,0.94,2023,0.02,0.85 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2022.0 , 0.01783 , 0.000348,**** , 0.4985 , 0.01403 , 0.000364,**** , 0.4962 , 0.187451 , 0.005362,***  , : , 0.472039,N/S , 0.005362,***  , 0.016990,**  ,"Y"
5,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2022, 2043, 2100.0]",1,1,1,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,98,2043,2022,2100.0,98,52.4195818506,0.413269628443,100,2043,1.0,0,0,0.00744841561518,0.0140341341901,0.00235529448957,0.204659817172,0.0290600490208,11.9937115642,0.282294431413,2043,1.0,0,0,1.0 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2043.0 , 0.01403 , 0.000364,**** , 0.4962 , 0.002355 , 0.021500,**   , 0.09249 , 0.20466 , 0.000707,**** , : , 0.007928,*** , 0.000707,**** , 0.000000,****,"Y"
6,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,1900,1861.0,1921,100,19.8019489537,0.155298546348,100,1900,0.98,1897,0.02,0.00261321126179,-0.00215571216526,-0.00551179654818,0.257784849611,0.0229254534194,8.74341586599,0.230419594087,1900,0.83,1895,0.08,0.85 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 1900.0 , -0.002156 , 0.179000,N/S  , 0.04696 , -0.005512 , 0.072200,*    , 0.1602 , 0.257785 , 0.000036,**** , : , 0.409000,N/S , 0.000036,**** , 0.000068,****,"N"
7,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,1921,1900,2001,100,36.9214436123,0.225093670246,100,1921,0.7,1927,0.28,0.00264619646838,-0.00551179654818,0.00100449445378,0.238922031433,0.0192262132378,9.01117196659,0.179558473706,1921,0.87,1920,0.12,0.92 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 1921.0 , -0.005512 , 0.072200,*    , 0.1602 , 0.001004 , 0.105000,N/S  , 0.03326 , 0.2389 , 0.000059,**** , : , 0.135400,N/S , 0.000059,**** , 0.000062,****,"N"
8,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,2001,1921,2013,2,59.0876129738,0.496024928247,100,2001,0.96,1999,0.04,0.00434725884952,0.00100449445378,0.0100997377942,0.39002250675,0.0341229411828,11.8596402152,0.314316749078,2001,0.99,2002,0.01,0.94 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2001.0 , 0.001004 , 0.105000,N/S  , 0.03326 , 0.0101 , 0.202000,N/S  , 0.1572 , 0.390023 , 0.000005,**** , : , 0.379000,N/S , 0.000005,**** , 0.000000,****,"N"
9,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,2013,2001,2028,2,17.1743877086,0.335937466894,2,2013,0.94,2014,0.06,0.0222514550298,0.0100997377942,0.0172458333345,0.141760192123,0.0181372181348,8.78971690689,0.217931559383,2013,0.98,2014,0.02,0.98 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2013.0 , 0.0101 , 0.202000,N/S  , 0.1572 , 0.01725 , 0.039700,**   , 0.2867 , 0.14176 , 0.111200,N/S  , : , 0.538700,N/S , 0.111200,N/S  , 0.252900,N/S ,"N"
10,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,2028,2013,2043,2,20.8494831817,0.353918596687,2,2028,0.81,2023,0.09,0.0203222302512,0.0172458333345,0.00405648809459,0.199801150702,0.0269892279387,8.94490406209,0.267850676429,2028,0.59,2022,0.3,0.82 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2028.0 , 0.01725 , 0.039700,**   , 0.2867 , 0.004056 , 0.374000,N/S  , 0.06109 , 0.199801 , 0.013900,**   , : , 0.143300,N/S , 0.013900,**   , 0.022580,**  ,"N"
11,r10i1p1_CSIRO-Mk3-6-0_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_027.dat.final.csv,"[1861.0, 1900, 1921, 2001, 2013, 2028, 2043, 2100.0]",1,2,2,r10i1p1,CSIRO-Mk3-6-0,RCP2.6,2,2043,2028,2100.0,2,42.0573138756,0.350329962206,100,2043,1.0,0,0,0.00602581315712,0.00405648809459,0.00235529448957,0.253985107516,0.0290600490208,11.9937115642,0.282294431413,2043,1.0,0,0,1.0 ,":" , CSIRO-QCCCE , au2 , 012 , CSIRO-Mk3-6-0 , 01 , 01201 , r10i1p1 , 1110 , RCP2.6 ,":" , 2043.0 , 0.004056 , 0.374000,N/S  , 0.06109 , 0.002355 , 0.021500,**   , 0.09249 , 0.254 , 0.000209,**** , : , 0.808128,N/S , 0.000209,**** , 0.000002,****,"N"
"Seq","Source","BreakSet","DatasetNo","SetNo","SetNoInData","Type","Model","Treat","%BreakSet","Year","Predecessor","Successor","%SegmentFound","Ti","Shift","%YearOverall","Modal Year","ModalValue","SecondModalYear","SecondModalValue","SegmentTrend","PreTrend",PostTrend","ShiftFromTrends","30YearTrend","15YrTi","15YearShift","30Yr Mode","30YrModePct","30YrMode2","30YrMode2%","Stability",":","ModelGroup","GroupCode","GroupNum","Model","GroupModNum","ModelNum","EnsembleCode","EnsembleNum","Scenario",":","Byear","slope1","Pr(slope1)","Sig(slope1)","Rsq(slope1)","slope2","Pr(slope2)","Sig(slope2)","Rsq(slope2)","non-trend-shift","Pr(non-trend-shift)","Sig(non-trend-shift)",":","PrTrends","sig(Trends)","Pr(shifts)","sig(shifts)",Pr(Regime)","sig(Regime)","Modal"
12,r12i1p1_EC-EARTH_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_029.dat.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2008, 2027, 2037, 2100.0]",2,3,1,r12i1p1,EC-EARTH,RCP2.6,72,1883,1861.0,1915,100,19.4183911147,-0.136257252536,100,1883,1.0,0,0,-0.00248133958707,0.00567660572542,0.00364815493871,-0.258746617111,-0.023174007341,12.6454551775,-0.267756868358,1883,1.0,0,0,1.0 ,":" , ICHEC , ie1 , 061 , EC-EARTH , 01 , 06101 , r12i1p1 , 1112 , RCP2.6 ,":" , 1883.0 , 0.005677 , 0.016000,**   , 0.2462 , 0.003648 , 0.056200,*    , 0.1162 , -0.2587 , 0.000001,**** , : , 0.523800,N/S , 0.000001,**** , 0.000005,****,"Y"
13,r12i1p1_EC-EARTH_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_029.dat.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2008, 2027, 2037, 2100.0]",2,3,1,r12i1p1,EC-EARTH,RCP2.6,72,1915,1883,1977,100,78.1253694889,0.44106289111,100,1915,1.0,0,0,0.00726864092343,0.00364815493871,0.00279893816273,0.296333400487,0.0237751960645,10.3031936821,0.264385077479,1915,0.98,1914,0.02,0.98 ,":" , ICHEC , ie1 , 061 , EC-EARTH , 01 , 06101 , r12i1p1 , 1112 , RCP2.6 ,":" , 1915.0 , 0.003648 , 0.056200,*    , 0.1162 , 0.002799 , 0.000001,**** , 0.3314 , 0.2963 , 0.000000,**** , : , 0.609000,N/S , 0.000000,**** , 0.000000,****,"Y"
14,r12i1p1_EC-EARTH_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_029.dat.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2008, 2027, 2037, 2100.0]",2,3,1,r12i1p1,EC-EARTH,RCP2.6,72,1977,1915,1997,72,61.8671587812,0.371491832466,100,1977,1.0,0,0,0.00631158990116,0.00279893816273,0.0061988784496,0.220932912322,0.0241095955922,10.728233542,0.235888564237,1977,0.92,1976,0.08,0.93 ,":" , ICHEC , ie1 , 061 , EC-EARTH , 01 , 06101 , r12i1p1 , 1112 , RCP2.6 ,":" , 1977.0 , 0.002799 , 0.000001,**** , 0.3314 , 0.006199 , 0.096600,*    , 0.1458 , 0.220933 , 0.000001,**** , : , 0.266700,N/S , 0.000001,**** , 0.000000,****,"Y"
15,r12i1p1_EC-EARTH_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_029.dat.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2008, 2027, 2037, 2100.0]",2,3,1,r12i1p1,EC-EARTH,RCP2.6,72,1997,1977,2008,72,23.4516891504,0.358914927336,72,1997,0.91,1999,0.08,0.0184369892409,0.0061988784496,0.019113560612,0.185510995447,0.033851948501,11.3676267492,0.31686770317,1997,0.63,1999,0.23,0.79 ,":" , ICHEC , ie1 , 061 , EC-EARTH , 01 , 06101 , r12i1p1 , 1112 , RCP2.6 ,":" , 1997.0 , 0.006199 , 0.096600,*    , 0.1458 , 0.01911 , 0.010500,**   , 0.535 , 0.185511 , 0.007570,***  , : , 0.140800,N/S , 0.007570,***  , 0.000539,****,"Y"
16,r12i1p1_EC-EARTH_RCP2.6_icmip5_tas_Amon_ens_rcp26_0-360E_-90-90N_n_029.dat.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2008, 2027, 2037, 2100.0]",2,3,1,r12i1p1,EC-EARTH,RCP2.6,72,2008,1997,2027,72,22.5385320379,0.335750031868,72,2008,0.88,2012,0.05,0.0192054004531,0.019113560612,0.0105647514677,0.134093175225,0.0241505514885,11.1433224985,0.22106775974,2008,1.0,0,0,0.7 ,":" , ICHEC , ie1 , 061 , EC-EARTH , 01 , 06101 , r12i1p1 , 1112 , RCP2.6 ,":" , 2008.0 , 0.01911 , 0.010500,**   , 0.535 , 0.01056 , 0.002490,***  , 0.4249 , 0.134093 , 0.013230,**   , : , 0.239750,N/S , 0.013230,**   , 0.006116,*** ,"Y"
