"Seq","Source","BreakSet","DatasetNo","SetNo","SetNoInData","Type","Model","Treat","%BreakSet","Year","Predecessor","Successor","%SegmentFound","Ti","Shift","%YearOverall","Modal Year","ModalValue","SecondModalYear","SecondModalValue","SegmentTrend","PreTrend",PostTrend","ShiftFromTrends","30YearTrend","15YrTi","15YearShift","30Yr Mode","30YrModePct","30YrMode2","30YrMode2%","Stability",":","ModelGroup","GroupCode","GroupNum","Model","GroupModNum","ModelNum","EnsembleCode","EnsembleNum","Scenario",":","Byear","slope1","Pr(slope1)","Sig(slope1)","Rsq(slope1)","slope2","Pr(slope2)","Sig(slope2)","Rsq(slope2)","non-trend-shift","Pr(non-trend-shift)","Sig(non-trend-shift)",":","PrTrends","sig(Trends)","Pr(shifts)","sig(shifts)",Pr(Regime)","sig(Regime)","Modal"
"Seq","Source","BreakSet","DatasetNo","SetNo","SetNoInData","Type","Model","Treat","%BreakSet","Year","Predecessor","Successor","%SegmentFound","Ti","Shift","%YearOverall","Modal Year","ModalValue","SecondModalYear","SecondModalValue","SegmentTrend","PreTrend",PostTrend","ShiftFromTrends","30YearTrend","15YrTi","15YearShift","30Yr Mode","30YrModePct","30YrMode2","30YrMode2%","Stability",":","ModelGroup","GroupCode","GroupNum","Model","GroupModNum","ModelNum","EnsembleCode","EnsembleNum","Scenario",":","Byear","slope1","Pr(slope1)","Sig(slope1)","Rsq(slope1)","slope2","Pr(slope2)","Sig(slope2)","Rsq(slope2)","non-trend-shift","Pr(non-trend-shift)","Sig(non-trend-shift)",":","PrTrends","sig(Trends)","Pr(shifts)","sig(shifts)",Pr(Regime)","sig(Regime)","Modal"
11,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,1919,1861.0,1973,100,57.1471341259,0.243848203908,100,1919,1.0,0,0,0.00300697000382,-0.0015540184588,-1.73701164575e-05,0.289330230979,0.0275328909302,8.88698940754,0.222413083191,1919,0.61,1914,0.16,0.34 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 1919.0 , -0.001554 , 0.170000,N/S  , 0.03271 , -1.737e-05 , 0.981000,N/S  , 1.154e-05 , 0.2893 , 0.000000,**** , : , 0.272000,N/S , 0.000000,**** , 0.000000,****,"Y"
12,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,1973,1919,1985,100,36.2838446819,0.234740915374,100,1973,1.0,0,0,0.00324781995619,-1.73701164575e-05,0.0148170279716,0.138416370109,0.0235752193624,10.4394504502,0.21021468198,1973,0.79,1972,0.19,0.63 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 1973.0 , -1.737e-05 , 0.981000,N/S  , 1.154e-05 , 0.014817 , 0.039000,**   , 0.3604 , 0.138416 , 0.012500,**   , : , 0.031500,**  , 0.012500,**   , 0.000000,****,"Y"
13,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,1985,1973,1995,100,16.1448777716,0.35624532538,100,1985,0.96,1983,0.02,0.0260722256718,0.0148170279716,-0.00480489898699,0.301008707233,0.0338152377428,10.6641340203,0.334371605948,1985,0.95,1984,0.02,0.97 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 1985.0 , 0.014817 , 0.039000,**   , 0.3604 , -0.004805 , 0.731000,N/S  , 0.01558 , 0.301009 , 0.002630,***  , : , 0.168450,N/S , 0.002630,***  , 0.008511,*** ,"Y"
14,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,1995,1985,2005,100,12.8769921081,0.257509688582,100,1995,0.86,1996,0.13,0.0208178395995,-0.00480489898699,0.0176310202017,0.180365601002,0.0211526262264,8.70348463917,0.226283699943,1995,0.75,1996,0.23,0.91 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 1995.0 , -0.004805 , 0.731000,N/S  , 0.01558 , 0.017631 , 0.001300,***  , 0.7448 , 0.180366 , 0.040600,**   , : , 0.128300,N/S , 0.040600,**   , 0.036350,**  ,"Y"
15,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,2005,1995,2025,100,22.3272066569,0.239416416031,100,2005,1.0,0,0,0.0121994288105,0.0176310202017,0.00293456579103,0.129969176627,0.0221040943631,11.4393242765,0.203306575032,2005,0.98,2006,0.02,0.71 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 2005.0 , 0.017631 , 0.001300,***  , 0.7448 , 0.002935 , 0.253000,N/S  , 0.07186 , 0.129969 , 0.004900,***  , : , 0.034500,**  , 0.004900,***  , 0.000137,****,"Y"
16,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,2025,2005,2038,100,28.1311940525,0.381736065355,100,2025,1.0,0,0,0.0183008227501,0.00293456579103,0.0168432554939,0.236827320505,0.0315761838247,13.4174865081,0.319937925855,2025,0.97,2024,0.03,0.99 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 2025.0 , 0.002935 , 0.253000,N/S  , 0.07186 , 0.016843 , 0.000437,**** , 0.69 , 0.236827 , 0.000005,**** , : , 0.007542,*** , 0.000005,**** , 0.000000,****,"Y"
17,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,2038,2025,2050,100,18.3650758311,0.290258490003,100,2038,0.91,2039,0.05,0.0213115012818,0.0168432554939,0.0145504050117,0.0935778504831,0.0262849424019,11.0971324577,0.221900815475,2038,0.83,2039,0.1,0.62 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 2038.0 , 0.016843 , 0.000437,**** , 0.69 , 0.01455 , 0.042000,**   , 0.3519 , 0.093578 , 0.072940,*    , : , 0.741220,N/S , 0.072940,*    , 0.192400,N/S ,"Y"
18,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,2050,2038,2068,90,23.95167737,0.321643004737,100,2050,0.98,2051,0.02,0.0184255517243,0.0145504050117,0.00953722824312,0.150757368015,0.0241274436272,11.8004335724,0.237668900627,2050,0.99,2051,0.01,1.0 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 2050.0 , 0.01455 , 0.042000,**   , 0.3519 , 0.009537 , 0.000087,**** , 0.6285 , 0.150757 , 0.001103,***  , : , 0.356322,N/S , 0.001103,***  , 0.001249,*** ,"Y"
19,r1i1p1_bcc-csm1-1_RCP6_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_108.final.csv,"[1861.0, 1919, 1973, 1985, 1995, 2005, 2025, 2038, 2050, 2068, 2081, 2100.0]",2,2,1,r1i1p1,bcc-csm1-1,RCP6,90,2068,2050,2081,90,21.8313519164,0.244047488542,90,2068,0.89,2067,0.1,0.0146610288985,0.00953722824312,0.0174985210642,0.0404937736029,0.0155148223053,11.0346872193,0.146428368397,2068,0.9,2067,0.09,0.83 ,":" , BCC , cn2 , 032 , bcc-csm1-1 , 02 , 03202 , r1i1p1 , 1101 , RCP6 ,":" , 2068.0 , 0.009537 , 0.000087,**** , 0.6285 , 0.017499 , 0.002780,***  , 0.5719 , 0.040494 , 0.285700,N/S  , : , 0.078600,*   , 0.285700,N/S  , 0.054340,*   ,"Y"
