Seq,Source,BreakSet,DatasetNo,SetNo,SetNoInData,Type,Model,Treat,%BreakSet,Year,Predecessor,Successor,%SegmentFound,Ti,Shift,%YearOverall,Modal Year,ModalValue,SecondModalYear,SecondModalValue,SegmentTrend,PreTrend,"PostTrend""",ShiftFromTrends,30YearTrend,15YrTi,15YearShift,30Yr Mode,30YrModePct,30YrMode2,30YrMode2%,Stability,:,ModelGroup,GroupCode,GroupNum,Model,GroupModNum,ModelNum,EnsembleCode,EnsembleNum,Scenario,:,Byear,slope1,Pr(slope1),Sig(slope1),Rsq(slope1),slope2,Pr(slope2),Sig(slope2),Rsq(slope2),non-trend-shift,Pr(non-trend-shift),Sig(non-trend-shift),:,PrTrends,sig(Trends),Pr(shifts),sig(shifts),"Pr(Regime)""",sig(Regime),Modal,pRnOTHING,DelTrend,IndPr,PrRat
2171,r1i1p1_MRI-CGCM3_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_233.final.csv,"[1861.0, 1882, 1907, 1933, 1975, 1999, 2012, 2025, 2038, 2047, 2059, 2070, 2082, 2089, 2100.0]",38,176,14,r1i1p1,MRI-CGCM3,RCP8.5,20,1882,1861,1907,100,13.69497565,-0.130540411,100,1882,0.96,1883,0.04,-0.003410615,0.004612709,0.001811819,-0.20265953,-0.016447224,8.571029222,-0.221383655,1883,0.52,1882,0.48,0.66,: , MRI , jp2 ,82, MRI-CGCM3 ,3,8203, r1i1p1 ,1101, RCP8.5 ,: ,1882,0.004613,0.0629,*    ,0.1625,0.001812,0.601,N/S  ,0.01207,-0.20266,0.00142,***  , : ,0.5315,N/S ,0.00142,***  ,0.005484,*** ,Y,0.994516,-0.002801,0.00075473,0.137623997
2645,r1i1p3_GISS-E2-H_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_207.final.csv,"[1861.0, 1863, 1882, 1891, 1917, 1935, 1971, 1994, 2001, 2013, 2024, 2035, 2046, 2056, 2063, 2071, 2083, 2093, 2100.0]",43,212,5,r1i1p3,GISS-E2-H,RCP8.5,63,1882,1863,1891,99,22.00224595,-0.343651928,100,1882,0.95,1883,0.05,-0.016609399,-0.002778772,0.011486917,-0.376878116,-0.027707745,11.35662464,-0.312772584,1882,0.77,1883,0.23,0.89,: , NASA-GISS , us5 ,135, GISS-E2-H ,2,13502, r1i1p3 ,3101, RCP8.5 ,: ,1882,-0.002779,0.242,N/S  ,0.07964,0.01149,0.476,N/S  ,0.07484,-0.37688,0.000008,**** , : ,0.194,N/S ,0.000008,**** ,0.000012,****,Y,0.999988,0.014269,0.000001552,0.129333333
3575,r3i1p1_MIROC5_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_226.final.csv,"[1861.0, 1882, 1921, 1987, 1999, 2015, 2031, 2041, 2054, 2071, 2086, 2100.0]",62,289,6,r3i1p1,MIROC5,RCP8.5,62,1882,1861,1921,100,17.84900074,-0.166876022,100,1882,1,0,0,-0.001490337,0.014444275,0.006260039,-0.444458395,-0.036835365,11.37685767,-0.410747426,1882,0.92,1883,0.08,0.88,: , MIROC , jp1 ,81, MIROC5 ,3,8103, r3i1p1 ,1103, RCP8.5 ,: ,1882,0.01444,0.00115,***  ,0.4181,0.00626,0.000014,**** ,0.4028,-0.444458,0,**** , : ,0.0254,**  ,0,**** ,0,****,Y,1,-0.00818,0,#DIV/0!
123,r11i1p1_EC-EARTH_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_195.final.csv,"[1861.0, 1883, 1892, 1914, 1925, 1947, 1976, 1998, 2012, 2026, 2040, 2051, 2074, 2100.0]",3,12,1,r11i1p1,EC-EARTH,RCP8.5,100,1883,1861,1892,100,25.18891221,-0.259239869,100,1883,0.99,1882,0.01,-0.010407737,-0.001500954,-0.000403778,-0.240882353,-0.02263475,12.6577907,-0.233630409,1883,0.99,1882,0.01,0.96,: , ICHEC , ie1 ,61, EC-EARTH ,1,6101, r11i1p1 ,1111, RCP8.5 ,: ,1883,-0.001501,0.42,N/S  ,0.03128,-0.0004038,0.961,N/S  ,0.0003711,-0.2408824,0.000034,**** , : ,0.889,N/S ,0.000034,**** ,0.000003,****,Y,0.999997,0.0010972,0.000030226,10.07533333
146,r12i1p1_EC-EARTH_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_196.final.csv,"[1861.0, 1883, 1915, 1977, 1997, 2014, 2027, 2040, 2052, 2067, 2081, 2091, 2100.0]",4,14,2,r12i1p1,EC-EARTH,RCP8.5,93,1883,1861,1915,100,19.32047278,-0.13613502,100,1883,1,0,0,-0.002481322,0.005676872,0.003648212,-0.25875097,-0.023174613,12.57383748,-0.268538592,1883,1,0,0,1,: , ICHEC , ie1 ,61, EC-EARTH ,1,6101, r12i1p1 ,1112, RCP8.5 ,: ,1883,0.005677,0.016,**   ,0.2462,0.003648,0.0562,*    ,0.1162,-0.258751,0.000001,**** , : ,0.5238,N/S ,0.000001,**** ,0.000005,****,Y,0.999995,-0.002029,5.238E-07,0.10476
413,r1i1p1_BNU-ESM_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_158.final.csv,"[1861.0, 1883, 1913, 1942, 1977, 1994, 2005, 2020, 2033, 2046, 2056, 2066, 2079, 2089, 2100.0]",9,34,2,r1i1p1,BNU-ESM,RCP8.5,99,1883,1861,1913,100,14.91864757,-0.1942944,100,1883,0.94,1882,0.06,-0.003519659,0.008930306,0.006326433,-0.390226236,-0.035826763,9.397915211,-0.34417622,1883,0.9,1882,0.09,0.91,: , BNU , cn3 ,33, BNU-ESM ,1,3301, r1i1p1 ,1101, RCP8.5 ,: ,1883,0.00893,0.0505,*    ,0.1701,0.006326,0.0605,*    ,0.1202,-0.390226,0.000014,**** , : ,0.6409,N/S ,0.000014,**** ,0.000066,****,Y,0.999934,-0.002604,8.9726E-06,0.135948485
504,r1i1p1_CESM1-CAM5_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_171.final.csv,"[1861.0, 1883, 1914, 1971, 1997, 2009, 2019, 2032, 2042, 2053, 2065, 2077, 2089, 2100.0]",13,42,1,r1i1p1,CESM1-CAM5,RCP8.5,100,1883,1861,1914,100,15.64700595,-0.13877155,100,1883,0.97,1882,0.02,-0.003115583,-0.000769523,0.003765975,-0.190443091,-0.011371542,7.670950616,-0.192433619,1883,1,0,0,1,: , NSF-DOE-NCAR , us1 ,131, CESM1-CAM5 ,2,13102, r1i1p1 ,1101, RCP8.5 ,: ,1883,-0.0007695,0.808,N/S  ,0.002872,0.003766,0.104,N/S  ,0.08844,-0.190443,0.00199,***  , : ,0.26046,N/S ,0.00199,***  ,0.001917,*** ,Y,0.998083,0.0045355,0.000518315,0.270378404
1075,r1i1p1_GFDL-CM3_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_202.final.csv,"[1861.0, 1867, 1883, 1919, 1933, 1962, 1977, 1996, 2005, 2016, 2028, 2042, 2054, 2066, 2081, 2092, 2100.0]",21,89,16,r1i1p1,GFDL-CM3,RCP8.5,36,1883,1867,1919,52,29.32897241,-0.299453608,100,1883,1,0,0,-0.005748723,0.007765623,0.004197068,-0.435473728,-0.040092509,11.82875768,-0.425355101,1883,0.99,1884,0.01,0.98,: , NOAA-GFDL , us6 ,136, GFDL-CM3 ,2,13602, r1i1p1 ,1101, RCP8.5 ,: ,1883,0.007766,0.151,N/S  ,0.1416,0.004197,0.0419,**   ,0.1162,-0.435474,0,**** , : ,0.5887,N/S ,0,**** ,0,****,Y,1,-0.003569,0,#DIV/0!
1149,r1i1p1_GFDL-ESM2M_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_204.final.csv,"[1861.0, 1883, 1893, 1976, 1995, 2020, 2040, 2052, 2066, 2077, 2091, 2100.0]",23,95,2,r1i1p1,GFDL-ESM2M,RCP8.5,59,1883,1861,1893,100,15.05078824,-0.24007019,100,1883,0.82,1875,0.17,-0.009233295,-0.003322464,0.040476929,-0.426102379,-0.00792907,5.886488238,-0.183075652,1883,0.99,1889,0.01,0.96,: , NOAA-GFDL , us6 ,136, GFDL-ESM2M ,1,13601, r1i1p1 ,1101, RCP8.5 ,: ,1883,-0.003322,0.336,N/S  ,0.04414,0.040477,0.00366,***  ,0.6727,-0.4261,0.000014,**** , : ,0.000865,****,0.000014,**** ,0.000062,****,Y,0.999938,0.043799,1.211E-08,0.000195323
1510,r1i1p1_HadGEM2-AO_RCP8.5_icmip5_tas_Amon_ens_rcp45to85_0-360E_-90-90N_n_su_211.final.csv,"[1861.0, 1883, 1916, 1935, 1962, 1984, 1998, 2020, 2037, 2052, 2059, 2066, 2073, 2080, 2090, 2100.0]",26,121,2,r1i1p1,HadGEM2-AO,RCP8.5,98,1883,1861,1916,100,18.96980596,-0.170935119,100,1883,1,0,0,-0.003759012,0.000756631,0.002944225,-0.228517534,-0.019565404,7.870974757,-0.324284318,1888,0.77,1889,0.13,0.67,: , MOHC , uk1 ,121, HadGEM2-A ,3,12103, r1i1p1 ,1101, RCP8.5 ,: ,1883,0.0007566,0.795,N/S  ,0.00329,0.002944,0.237,N/S  ,0.0448,-0.228518,0.000742,**** , : ,0.613414,N/S ,0.000742,**** ,0.0013,*** ,Y,0.9987,0.0021874,0.000455153,0.350117837
